Open,High,Low,Adj Close,mean,RSI,EMAF,EMAM,EMAS,Target,TargetClass,TargetNextClose
10123.03515625,10215.9482421875,9980.7763671875,10178.3720703125,0.1725,47.3424258526252,10294.158326229162,9692.104233436463,9123.295244140625,233.3076171875,1,10410.126953125
10176.8193359375,10442.25390625,10099.2421875,10410.126953125,0.2258,51.2801701177492,10305.2029573621,9706.322505113463,9140.339372736446,-54.8154296875,0,10360.546875
10415.3623046875,10441.4892578125,10226.5966796875,10360.546875,0.059,50.4160052076872,10310.473806660948,9719.277443131019,9156.50106150815,12.6455078125,1,10358.048828125
10345.4033203125,10422.1337890625,10291.6943359375,10358.048828125,0.2153,50.370182864048424,10315.004761086095,9731.92638144773,9172.41560146334,-8.7529296875,0,10347.712890625
10356.4658203125,10387.03515625,10313.0927734375,10347.712890625,0.1545,50.16804458895141,10318.11982104218,9744.120173708667,9187.982452975417,-70.4287109375,0,10276.7939453125
10347.22265625,10386.8671875,10189.744140625,10276.7939453125,0.1086,48.73040293505362,10314.18402335364,9754.66816918597,9202.403797244784,-40.2412109375,0,10241.2724609375
10281.513671875,10296.771484375,10199.7392578125,10241.2724609375,0.0728,47.99234993452462,10307.240065028294,9764.303897735505,9216.16364709502,-49.5478515625,0,10198.248046875
10247.7958984375,10275.9287109375,10191.4697265625,10198.248046875,0.103,47.06723996387943,10296.85987282322,9772.896851183812,9229.171387489458,65.9189453125,1,10266.4150390625
10200.49609375,10295.6689453125,9851.6923828125,10266.4150390625,0.1652,48.74443946257022,10293.960364846009,9782.669488567548,9242.90971400036,-84.6767578125,0,10181.6416015625
10266.318359375,10285.8720703125,10132.1865234375,10181.6416015625,0.2088,46.769857713365994,10283.263339771389,9790.569926448636,9255.343248934958,-163.931640625,0,10019.716796875
10183.6484375,10188.09765625,10000.7080078125,10019.716796875,0.1071,43.18935834617181,10258.163669019352,9795.107488239257,9265.467401887807,46.27734375,1,10070.392578125
10024.115234375,10074.4443359375,9922.533203125,10070.392578125,0.16,44.61119543586899,10240.280707981794,9800.558678137984,9276.128662500221,-338.638671875,0,9729.32421875
10067.962890625,10074.23828125,9727.1435546875,9729.32421875,0.2108,37.790788322649526,10191.618185197813,9799.148094783768,9282.131252649226,-1108.7548828125,0,8620.56640625
9729.3212890625,9804.3173828125,8370.8017578125,8620.56640625,0.0909,24.659463478300115,10041.994206250401,9775.809843525672,9273.368804352547,-116.435546875,0,8486.9931640625
8603.4287109375,8744.828125,8325.396484375,8486.9931640625,0.1241,23.600946071505962,9893.898868899172,9750.288721160065,9262.953232957978,-368.7021484375,0,8118.9677734375
8487.669921875,8515.685546875,7895.62939453125,8118.9677734375,0.0445,20.946643866330195,9724.857812188537,9717.985336056647,9247.801107666315,138.74462890625,1,8251.845703125
8113.10107421875,8271.5205078125,7965.9228515625,8251.845703125,0.1659,24.242621000952965,9584.570944658677,9688.952868077802,9234.60964535451,-5.3583984375,0,8245.9150390625
8251.2734375,8285.6171875,8125.431640625,8245.9150390625,0.2036,24.19438268713063,9457.07990603047,9660.377861562649,9221.514352555942,-141.8515625,0,8104.185546875
8246.037109375,8261.70703125,7990.4970703125,8104.185546875,0.3191,23.021469887018075,9328.232824206141,9629.562172162894,9206.715295527056,189.6416015625,1,8293.8681640625
8104.2265625,8314.2314453125,7830.7587890625,8293.8681640625,0.07,28.0248584703903,9229.721904192462,9603.112785863877,9194.624605044082,43.5556640625,1,8343.2763671875
8299.720703125,8497.6923828125,8232.6796875,8343.2763671875,0.0865,29.307202450936533,9145.2985197158,9578.165530048504,9183.348469443334,48.8291015625,1,8393.0419921875
8344.212890625,8393.0419921875,8227.6953125,8393.0419921875,0.0906,30.64078470380467,9073.65504090358,9554.697737219572,9172.880833982992,-130.7822265625,0,8259.9921875
8390.7744140625,8414.2275390625,8146.43701171875,8259.9921875,0.1201,29.06992790651819,8996.163340579431,9529.060003561759,9160.789593632224,-53.5546875,0,8205.939453125
8259.494140625,8260.0556640625,8151.23681640625,8205.939453125,0.115,28.43538288175548,8920.903922726628,9502.859596622417,9148.14257190365,-58.64892578125,0,8151.50048828125
8210.1494140625,8215.5263671875,8071.12060546875,8151.50048828125,0.2858,27.78101494687172,8847.627405160401,9476.10001031863,9134.942014504679,-161.72119140625,0,7988.15576171875
8149.876953125,8161.41015625,7958.8505859375,7988.15576171875,0.2308,25.867319432467717,8765.772962927864,9446.635767772099,9119.752792613475,256.50244140625,1,8245.623046875
7989.12060546875,8308.4501953125,7905.76611328125,8245.623046875,0.1747,33.59271322131695,8716.234875684733,9422.853337655324,9108.174915186475,-18.06640625,0,8228.783203125
8246.849609375,8332.71484375,8185.76318359375,8228.783203125,0.1871,33.34917048280456,8669.810906869521,9399.208384496309,9096.52734284129,365.8994140625,1,8595.740234375
8229.8408203125,8627.7060546875,8169.298828125,8595.740234375,0.1142,42.997732906186165,8662.756557108138,9383.298124097866,9089.8944010073,1.193359375,1,8586.4736328125
8585.2802734375,8625.2724609375,8471.93359375,8586.4736328125,0.0174,42.82997870308931,8655.491516699029,9367.519421300136,9083.226576262998,-263.505859375,0,8321.7568359375
8585.2626953125,8721.7802734375,8316.181640625,8321.7568359375,0.1237,38.261100859101596,8623.707261388407,9346.811251292955,9073.140884338158,20.890625,1,8336.5556640625
8315.6650390625,8415.2421875,8313.3408203125,8336.5556640625,0.3189,38.65308048906211,8596.35949021451,9326.806190159677,9063.384788705369,-15.896484375,0,8321.005859375
